,sex,age,Total
0,male,0,169800
1,male,1,178921
2,male,2,178154
3,male,3,190572
4,male,4,200440
5,male,5,214698
6,male,6,225565
7,male,7,231943
8,male,8,236850
9,male,9,234395
10,male,10,248245
11,male,11,254156
12,male,12,259729
13,male,13,264723
14,male,14,276257
15,male,15,266390
16,male,16,265790
17,male,17,261546
18,male,18,264715
19,male,19,262996
20,male,20,258128
21,male,21,258220
22,male,22,262775
23,male,23,256872
24,male,24,253109
25,male,25,257588
26,male,26,256337
27,male,27,259688
28,male,28,263513
29,male,29,271644
30,male,30,278630
31,male,31,278189
32,male,32,280693
33,male,33,284117
34,male,34,288457
35,male,35,291210
36,male,36,296284
37,male,37,306067
38,male,38,316872
39,male,39,327420
40,male,40,345547
41,male,41,360609
42,male,42,377916
43,male,43,387343
44,male,44,404745
45,male,45,410843
46,male,46,416290
47,male,47,413579
48,male,48,408632
49,male,49,397587
50,male,50,394484
51,male,51,386474
52,male,52,379656
53,male,53,373092
54,male,54,367586
55,male,55,367472
56,male,56,357123
57,male,57,351388
58,male,58,353900
59,male,59,334961
60,male,60,321031
61,male,61,311291
62,male,62,309848
63,male,63,299397
64,male,64,289561
65,male,65,279455
66,male,66,257702
67,male,67,248033
68,male,68,233187
69,male,69,231761
70,male,70,228126
71,male,71,209968
72,male,72,200932
73,male,73,203858
74,male,74,208573
75,male,75,186291
76,male,76,172605
77,male,77,174492
78,male,78,160712
79,male,79,152318
80,male,80,126192
81,male,81,111003
82,male,82,127248
83,male,83,77384
84,male,84,82092
85,male,85,84542
86,male,86,82899
87,male,87,73122
88,male,88,63440
89,male,89,55346
90,male,90,182259
91,female,0,160168
92,female,1,168032
93,female,2,169912
94,female,3,180252
95,female,4,190155
96,female,5,202169
97,female,6,213178
98,female,7,219306
99,female,8,222618
100,female,9,221085
101,female,10,233380
102,female,11,239146
103,female,12,245136
104,female,13,248455
105,female,14,259775
106,female,15,250950
107,female,16,250225
108,female,17,246068
109,female,18,246596
110,female,19,247530
111,female,20,240923
112,female,21,242482
113,female,22,246143
114,female,23,244497
115,female,24,239841
116,female,25,247377
117,female,26,247592
118,female,27,250339
119,female,28,255384
120,female,29,264010
121,female,30,272290
122,female,31,271388
123,female,32,276333
124,female,33,281866
125,female,34,287516
126,female,35,291269
127,female,36,299325
128,female,37,308472
129,female,38,319509
130,female,39,329170
131,female,40,346212
132,female,41,359076
133,female,42,374858
134,female,43,384286
135,female,44,398729
136,female,45,401814
137,female,46,409033
138,female,47,404397
139,female,48,402055
140,female,49,391134
141,female,50,389854
142,female,51,383647
143,female,52,378513
144,female,53,374841
145,female,54,371961
146,female,55,374861
147,female,56,364887
148,female,57,362766
149,female,58,367219
150,female,59,348521
151,female,60,337131
152,female,61,329018
153,female,62,329622
154,female,63,319535
155,female,64,311700
156,female,65,303926
157,female,66,282536
158,female,67,274084
159,female,68,261488
160,female,69,259479
161,female,70,256222
162,female,71,240160
163,female,72,232837
164,female,73,241061
165,female,74,249522
166,female,75,225812
167,female,76,214313
168,female,77,220468
169,female,78,206344
170,female,79,199657
171,female,80,168022
172,female,81,151568
173,female,82,181220
174,female,83,116940
175,female,84,127108
176,female,85,135919
177,female,86,140913
178,female,87,126973
179,female,88,116012
180,female,89,106630
181,female,90,435022
